domain;GM_id;Genes
V3;1;Cplx2,Ezr,Fam210b,Gm26801,Insm1,Ly6e,Mfap2,Mfng,Pam,Sstr2,Sulf2
V3;2;Abracl,Atp6v0e,Btbd17,Cald1,Cdk4,Cdkn1c,Cited2,Cotl1,Fam110a,Gadd45g,Hes6,Hsp90ab1,Mdk,Miat,Neurod4,Neurog3,Npc2,Npm1,Ppib,Ppp1r14a,Rps27l,Sem1,Tfdp2,Tmsb4x
V3;3;Cadm1,Cartpt,D930028M14Rik,Islr2,Ngfr,Onecut2,Rprm
V3;4;Dmrtb1,Lhx1,Lhx1os,Rgs7bp,Sall1,Vopp1
V3;5;Meis2,Mir124-2hg,Pou2f2,Zfhx2,Zfhx3,Zfhx4
V3;6;Bcl11b,Enc1,Gm17750,Gm3764,Gpm6b,Igfbpl1,Igsf8,Mir9-3hg,Neurod2,Neurod6,Nfia,Nfib,Nfix,Sptssa,Tcf4
V3;7;Cacna2d1,Cbln1,Cbln2,Dlk1,Elmo1,Gm2694,Nrgn,Olig3,Pid1,Pik3r1,Pou3f1
MN;1;Aldh1a2,Hoxa5,Hoxc4,Hoxc5,Prph
MN;2;Creb5,Hrk,Id2,Jun,Khdrbs3,Ldb2
MN;3;Foxp1,Nr2f1,Nr2f2,Tshz1,Zfp503
MN;4;Dab1,Efna5,Gpx3,Mafb,Nrp1,Olfm1,Prkce,Rhob,Sh3kbp1,Tmem158,Tspan17,Xpr1
MN;5;Alcam,Casz1,Chodl,Epha3,Epha5,Fgf12,Gm45768,Il6st,Maf,Mecom,Nacc2
MN;6;Cbln1,Ddah1,Gm2694,Lhx3,Lhx4,Lmo4,Pou3f1
MN;7;Crnde,Irx1,Irx3,Irx5,Rxrg
MN;8;Ednrb,Hes5,Id1,Nrarp,Olig2,Rfx4,Sox2,Sox9
MN;9;Btbd17,Btg2,Dll3,Fam110a,Gadd45g,Hes6,Mfng,Neurod1,Neurod4,Neurog2,Nhlh1,Rhbdl3,Trp53i11
MN;10;Cldn3,Cntn2,Nhlh2,Pou2f2,S100a16,Sct
V2b;1;Asxl3,Gm27199,Lhx1,Lhx1os,Pou2f2,Rpp25,Tox2,Zfhx2,Zfhx3,Zfhx4
V2b;2;Gata3,Islr2,Lhx5,Lin7a,Pak3,Pbx1,Pnoc,Zdbf2
V2b;3;Bcl11b,Irx1,Irx2,Ldhb,Msx1,Nr4a2,Pax6,Rcn1,Sox14,Zfp536
V2b;4;1110038F14Rik,Dcun1d5,Fabp7,Igfbp2,Mfap2,Nfia,Pam,Pgpep1,Tcf3
V2b;5;Lhx4,Nkx6-1,Shox2,Sox21,Sp8
V2b;6;Btbd17,Btg2,Cdkn1a,Dll3,Gadd45g,Ly6e,Mfng,Miat,Neurod1,Neurod4,Neurog2,Nhlh1,Ppp1r14a
V2a;1;Cald1,Ckb,Dbi,Ezr,Fabp7,Fgfbp3,Hes5,Igfbp2,Nes,Nrarp,Palld,Pgpep1,Plagl1,Sox9,Tead2,Vim
V2a;2;3110035E14Rik,Btg2,Hes6,Mybl1,Neurod4,Neurog1,Nkx6-1,Sstr2,Tfdp2,Vsx1
V2a;3;Cartpt,D930028M14Rik,Maf,Mn1,Nkx6-2,Onecut2,Pcp4,Rprm
